timestamp,period,activity
2019-07-01 09:18,20,"[Muda] Planung"
2019-07-01 09:38,20,"[Muda] Planung"
2019-07-01 09:58,20,"[Muda] Planung"
2019-07-01 10:18,20,"[Muda] Planung"
2019-07-01 10:38,20,"[VIZ-Basis I2, Muda] Managementtelko"
2019-07-01 10:58,20,"[VIZ-Basis I2, Muda] Managementtelko"
2019-07-01 11:18,20,"[VIZ-Basis I2, Muda] Managementtelko"
2019-07-01 11:39,20,"[Muda] Betriebsversammlung"
2019-07-01 11:59,20,"[Muda] Betriebsversammlung"
2019-07-01 12:19,20,"[VIZ-Basis I2, VerkehrsInfo BW] 5 Baustellen in Karte ansehen"
2019-07-01 12:39,20,"[VIZ-Basis I2, VerkehrsInfo BW] 5 Baustellen in Karte ansehen"
2019-07-01 13:00,20,"[Muda] Diskussion Darstellungsobjekte und Fehlerbehandlung"
2019-07-01 13:20,20,"[Muda] Diskussion Darstellungsobjekte und Fehlerbehandlung"
2019-07-01 13:41,20,"[Muda] Diskussion Darstellungsobjekte und Fehlerbehandlung"
2019-07-01 14:01,20,"[VIZ-Basis I2, VerkehrsInfo BW] 5 Baustellen in Karte ansehen"
2019-07-01 14:21,20,"[VIZ-Basis I2, VerkehrsInfo BW] 5 Baustellen in Karte ansehen"
2019-07-01 14:41,20,"[VIZ-Basis I2, VerkehrsInfo BW] 5 Baustellen in Karte ansehen"
2019-07-01 15:01,20,"[VIZ-Basis I2, VerkehrsInfo BW] 5 Baustellen in Karte ansehen"
2019-07-01 15:21,20,"[VIZ-Basis I2, VerkehrsInfo BW] 5 Baustellen in Karte ansehen"
2019-07-01 15:41,20,"[VIZ-Basis I2, VerkehrsInfo BW] 5 Baustellen in Karte ansehen"
2019-07-01 16:02,20,"[Muda] Gucken ob SWIS-VPN noch geht, wegen Urlaub Christian und Albrecht"
2019-07-01 16:22,20,"[Muda] Gucken ob SWIS-VPN noch geht, wegen Urlaub Christian und Albrecht"
2019-07-01 16:42,20,"[Muda] Gucken ob SWIS-VPN noch geht, wegen Urlaub Christian und Albrecht"
2019-07-02 09:00,20,"[VIZ-Basis I2, VerkehrsInfo BW] 5 Baustellen in Karte ansehen"
2019-07-02 09:20,20,"[VIZ-Basis I2, VerkehrsInfo BW] 5 Baustellen in Karte ansehen"
2019-07-02 09:41,20,"[VIZ-Basis I2, VerkehrsInfo BW] 5 Baustellen in Karte ansehen"
2019-07-02 10:01,20,"[VIZ-Basis I2, VerkehrsInfo BW] 5 Baustellen in Karte ansehen"
2019-07-02 10:21,20,"[VIZ-Basis I2, VerkehrsInfo BW] 5 Baustellen in Karte ansehen"
2019-07-02 10:41,20,"[VIZ-Basis I2, Muda] Anforderungen klären Prüffälle"
2019-07-02 11:01,20,"[VIZ-Basis I2, VerkehrsInfo BW] 5 Baustellen in Karte ansehen"
2019-07-02 11:21,20,"[VIZ-Basis I2, VerkehrsInfo BW] 5 Baustellen in Karte ansehen"
2019-07-02 11:41,20,"[VIZ-Basis I2, VerkehrsInfo BW] 5 Baustellen in Karte ansehen"
2019-07-02 12:01,20,"[VIZ-Basis I2, VerkehrsInfo BW] 5 Baustellen in Karte ansehen"
2019-07-02 12:21,20,"[VIZ-Basis I2, VerkehrsInfo BW] 5 Baustellen in Karte ansehen"
2019-07-02 12:41,20,"[VIZ-Basis I2, VerkehrsInfo BW] 5 Baustellen in Karte ansehen"
